CD0,CD1,CD2,CD3,CD4,CD5,CD6,CD7,CD8,CD9
CD0,0,3897,3142,2861,6911,5617,5050,5602,3771,2504
CD1,3909,0,2792,2876,6221,5800,6935,3162,6286,4421
CD2,3150,2771,0,2972,5494,4695,5613,4403,5367,3244
CD3,2828,2883,2985,0,7067,6208,6384,4284,5070,3708
CD4,6815,6222,5415,6958,0,3242,6463,7006,8517,6231
CD5,5565,5837,4678,6143,3247,0,4649,7171,6642,4678
CD6,5094,6986,5652,6429,6557,4671,0,8782,4377,4041
CD7,5548,3154,4403,4268,6956,7118,8865,0,8095,6256
CD8,3732,6347,5408,5101,8479,6729,4387,8065,0,3698
CD9,2498,4422,3223,3682,6187,4682,4031,6187,3693,0
