,pax_number
0,0.0
1,0.0
2,660.0
3,660.0
4,0.0
5,330.0
6,0.0
7,631.0
8,0.0
9,0.0
10,0.0
11,0.0
12,660.0
13,458.0
14,660.0
15,631.0
16,659.0
17,194.0
18,0.0
19,66.0
20,660.0
21,0.0
22,0.0
23,0.0
24,66.0
25,660.0
26,660.0
27,660.0
28,660.0
29,0.0
30,66.0
31,392.0
32,0.0
33,0.0
34,660.0
35,0.0
36,0.0
37,0.0
38,0.0
39,652.0
40,0.0
41,396.0
42,660.0
43,66.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,660.0
51,0.0
52,0.0
53,0.0
54,329.0
55,0.0
56,454.0
57,0.0
58,0.0
59,0.0
60,660.0
61,0.0
62,660.0
63,0.0
64,631.0
65,194.0
66,0.0
67,441.0
68,132.0
69,660.0
70,660.0
71,660.0
72,0.0
73,0.0
74,0.0
75,660.0
76,0.0
77,0.0
78,660.0
79,631.0
80,0.0
81,660.0
82,0.0
83,0.0
84,132.0
85,582.0
86,0.0
87,450.0
88,0.0
89,660.0
90,0.0
91,462.0
92,660.0
93,0.0
94,58.0
95,0.0
96,0.0
97,119.0
98,660.0
99,0.0
