,origin,destination,aircraft_number,distances,doc,demand,revenue,active_arcs,mach,pax_num,fuel,time,DOC_nd,SAR,mach_tot_aircraft,total_fuel,total_CEMV,total_distance,total_pax,total_cost,total_time
0,CD1,CD1,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
1,CD1,CD2,8.0,355,10128.0,451.0,21240.0,1,0.776161616161616,70.0,1108.96132885325,160.14795177533915,9.511634721386983,3.1238347291640847,6.209292929292928,8871.690630826,0.5943102027516947,2840.0,560.0,81024.0,1281.1836142027132
2,CD1,CD3,5.0,243,18739.0,294.0,49560.0,1,0.6696969696969697,70.0,776.2527726543248,148.00380811325505,11.019955633510117,3.1944558545445463,3.3484848484848486,3881.263863271624,0.363232216961758,1215.0,350.0,93695.0,740.0190405662752
3,CD1,CD4,5.0,198,9524.0,252.0,28320.0,1,0.6321212121212121,70.0,653.3059280244873,141.8925065609053,12.027685196392978,3.299524889012562,3.16060606060606,3266.529640122437,0.35166556430490536,990.0,350.0,47620.0,709.4625328045265
4,CD1,CD5,6.0,768,24736.0,313.0,28320.0,1,0.7886868686868687,70.0,2262.98870157712,214.36823499303037,8.053315830712162,2.9465998718452084,4.732121212121212,13577.93220946272,0.4725429983702806,4608.0,420.0,148416.0,1286.2094099581823
5,CD1,CD6,6.0,591,24825.0,298.0,35400.0,1,0.7824242424242422,70.0,1756.9561104495172,191.3526392924738,8.40116290607466,2.9728529787639886,4.6945454545454535,10541.736662697103,0.46836999622434405,3546.0,420.0,148950.0,1148.115835754843
6,CD1,CD7,4.0,517,22230.0,192.0,35400.0,1,0.7949494949494949,70.0,1560.4434909377255,180.67619485909515,8.601111072062565,3.0182659399182312,3.1797979797979794,6241.773963750902,0.30754858720345035,2068.0,280.0,88920.0,722.7047794363806
7,CD1,CD8,4.0,589,14853.0,221.0,21240.0,1,0.7824242424242422,70.0,1751.4210268222832,191.0850223073243,8.406390419021363,2.9735501304283245,3.129696969696969,7005.684107289133,0.31217345762132304,2356.0,280.0,59412.0,764.3400892292972
8,CD1,CD9,6.0,336,9741.0,324.0,21240.0,1,0.7886868686868687,70.0,1068.9769960740623,157.0062881758278,9.665401967450784,3.1814791549823283,4.732121212121212,6413.861976444374,0.4376565335211047,2016.0,420.0,58446.0,942.0377290549668
9,CD1,CD10,4.0,154,10435.0,188.0,35400.0,1,0.5632323232323231,70.0,545.3031994455636,137.1576436486181,13.55736121018034,3.5409298665296336,2.2529292929292923,2181.2127977822543,0.2621524460002681,616.0,280.0,41740.0,548.6305745944724
10,CD2,CD1,8.0,355,10125.0,451.0,21240.0,1,0.7886868686868687,70.0,1122.5028325706091,159.54674323659847,9.509844408350682,3.161979810058054,6.309494949494949,8980.022660564873,0.5871406406033334,2840.0,560.0,81000.0,1276.3739458927878
11,CD2,CD2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
12,CD2,CD3,6.0,188,11645.0,342.0,35400.0,1,0.6133333333333333,70.0,630.2181196670149,140.9234830874277,12.391906858684566,3.352224040781994,3.6799999999999997,3781.3087180020893,0.4153645822891977,1128.0,420.0,69870.0,845.5408985245663
13,CD2,CD4,8.0,200,7122.0,469.0,21240.0,1,0.6446464646464646,70.0,681.0547411148739,142.17131269596587,11.870500836034607,3.4052737055743694,5.157171717171717,5448.437928918991,0.545191667915913,1600.0,560.0,56976.0,1137.370501567727
14,CD2,CD5,7.0,672,22112.0,398.0,28320.0,1,0.7824242424242422,70.0,1986.0176597210645,202.2059575440481,8.226435096220223,2.955383422203965,5.476969696969696,13902.123618047452,0.5496616725400458,4704.0,490.0,154784.0,1415.4417028083367
15,CD2,CD6,4.0,620,15462.0,215.0,21240.0,1,0.7949494949494949,70.0,1851.4740233420728,194.28793857273644,8.313505737824277,2.9862484247452787,3.1797979797979794,7405.896093368291,0.3108460160026121,2480.0,280.0,61848.0,777.1517542909457
16,CD2,CD7,5.0,781,12512.0,254.0,14160.0,1,0.801212121212121,70.0,2314.2013549366948,214.82599067526962,8.010963493438211,2.963125934618047,4.006060606060605,11571.006774683474,0.3915895941095907,3905.0,350.0,62560.0,1074.129953376348
17,CD2,CD8,9.0,243,2682.0,505.0,7080.0,1,0.6696969696969697,70.0,779.4299327762266,148.01793998419421,11.03817639421742,3.207530587556488,6.027272727272727,7014.869394986039,0.6511528575164511,2187.0,630.0,24138.0,1332.161459857748
18,CD2,CD9,4.0,690,5622.0,227.0,7080.0,1,0.801212121212121,70.0,2053.2535743671997,202.8404990322354,8.149167594980229,2.9757298179234777,3.204848484848484,8213.014297468799,0.31194479419301124,2760.0,280.0,22488.0,811.3619961289417
19,CD2,CD10,6.0,427,15408.0,322.0,28320.0,1,0.7886868686868687,70.0,1315.502938308775,169.10497374666434,9.021936315617225,3.0808031342125877,4.732121212121212,7893.017629852649,0.45195849191937965,2562.0,420.0,92448.0,1014.6298424799861
20,CD3,CD1,5.0,243,18704.0,294.0,49560.0,1,0.6759595959595959,70.0,776.8228178914786,147.7483331465008,10.997615395050623,3.196801719718019,3.3797979797979796,3884.114089457393,0.3629656712443936,1215.0,350.0,93520.0,738.7416657325041
21,CD3,CD2,6.0,188,11585.0,342.0,35400.0,1,0.6258585858585858,70.0,628.2930414168981,140.4743875088508,12.32588884684363,3.3419842628558407,3.755151515151515,3769.758248501388,0.41663725168154137,1128.0,420.0,69510.0,842.8463250531049
22,CD3,CD3,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
23,CD3,CD4,6.0,215,12415.0,334.0,35400.0,1,0.6759595959595959,70.0,708.6617528303002,143.45507140113594,11.55273287197068,3.2961011759548846,4.055757575757575,4251.970516981801,0.42243701394749833,1290.0,420.0,74490.0,860.7304284068157
24,CD3,CD5,6.0,574,33936.0,300.0,49560.0,1,0.7824242424242422,70.0,1709.5737854835427,189.07623869484516,8.446112114364842,2.9783515426542557,4.6945454545454535,10257.442712901257,0.46750530234531706,3444.0,420.0,203616.0,1134.457432169071
25,CD3,CD6,7.0,463,24588.0,374.0,42480.0,1,0.776161616161616,70.0,1397.7613418946207,174.71845658186027,8.8520672274062,3.0189229846536083,5.433131313131312,9784.329393262346,0.5380928904458776,3241.0,490.0,172116.0,1223.029196073022
26,CD3,CD7,6.0,595,14934.0,354.0,21240.0,1,0.7949494949494949,70.0,1778.7269101436975,190.95156469273925,8.367824869520867,2.9894569918381473,4.7696969696969695,10672.361460862185,0.46576858012701094,3570.0,420.0,89604.0,1145.7093881564356
27,CD3,CD8,4.0,425,15368.0,204.0,28320.0,1,0.776161616161616,70.0,1295.353597114333,169.59102721893424,9.041415393981502,3.0478908167396073,3.104646464646464,5181.414388457332,0.3045592776906389,1700.0,280.0,61472.0,678.364108875737
28,CD3,CD9,5.0,561,37944.0,255.0,56640.0,1,0.7949494949494949,70.0,1681.1960661462736,186.47198202554029,8.456064826176272,2.9967844316332863,3.974747474747474,8405.980330731367,0.3871914408605921,2805.0,350.0,189720.0,932.3599101277014
29,CD3,CD10,4.0,258,8277.0,192.0,21240.0,1,0.7010101010101009,70.0,821.783400975551,148.99601513407111,10.697262958154223,3.1852069805253915,2.8040404040404034,3287.133603902204,0.29142954643187163,1032.0,280.0,33108.0,595.9840605362845
30,CD4,CD1,5.0,198,9444.0,252.0,28320.0,1,0.6446464646464646,70.0,676.9156759552635,141.86242444940245,11.925715943175064,3.4187660401780984,3.223232323232323,3384.5783797763174,0.3394000257391805,990.0,350.0,47220.0,709.3121222470122
31,CD4,CD2,8.0,200,7206.0,469.0,21240.0,1,0.6321212121212121,70.0,662.4861789676328,142.30700152036823,12.012515073427839,3.312430894838164,5.056969696969697,5299.889431741062,0.5604726287710213,1600.0,560.0,57648.0,1138.4560121629459
32,CD4,CD3,6.0,215,12475.0,334.0,35400.0,1,0.6571717171717171,70.0,706.4334302621369,143.99881759141567,11.606771069850666,3.2857368849401714,3.9430303030303024,4238.600581572821,0.4237695187405649,1290.0,420.0,74850.0,863.992905548494
33,CD4,CD4,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
