,pax_number
0,0.0
1,413.0
2,236.0
3,236.0
4,295.0
5,295.0
6,177.0
7,177.0
8,295.0
9,177.0
10,413.0
11,0.0
12,295.0
13,413.0
14,354.0
15,177.0
16,236.0
17,472.0
18,177.0
19,295.0
20,236.0
21,295.0
22,0.0
23,295.0
24,295.0
25,354.0
26,354.0
27,177.0
28,236.0
29,177.0
30,236.0
31,413.0
32,295.0
33,0.0
34,295.0
35,354.0
36,236.0
37,295.0
38,236.0
39,236.0
40,295.0
41,354.0
42,295.0
43,295.0
44,0.0
45,649.0
46,295.0
47,118.0
48,118.0
49,177.0
50,295.0
51,177.0
52,354.0
53,354.0
54,649.0
55,0.0
56,354.0
57,118.0
58,118.0
59,118.0
60,177.0
61,236.0
62,354.0
63,236.0
64,295.0
65,354.0
66,0.0
67,0.0
68,118.0
69,59.0
70,177.0
71,472.0
72,177.0
73,295.0
74,118.0
75,118.0
76,0.0
77,0.0
78,59.0
79,59.0
80,295.0
81,177.0
82,236.0
83,236.0
84,118.0
85,118.0
86,118.0
87,59.0
88,0.0
89,236.0
90,177.0
91,295.0
92,177.0
93,236.0
94,177.0
95,118.0
96,59.0
97,59.0
98,236.0
99,0.0
